"","fp","age","gender","question_id","question_type","response"
"1","study1a_FP00","31","Female","the_smell_of_a_person_plays_a_role_in_the_decision_whether_i_like_himher","matrix","I mostly disagree"
"2","study1a_FP00","31","Female","i_smell_foods_to_find_out_whether_it_is_spoiled_or_not","matrix","I totally agree"
"3","study1a_FP00","31","Female","i_sniff_on_food_before_eating","matrix","I mostly agree"
"4","study1a_FP00","31","Female","please_imagine_you_visit_a_museum_there_is_an_offer_to_get_additionally_smellpresentations_to_underline_the_overall_impression_for_the_price_of_2_euro_would_you_take_this_offer","matrix","I mostly agree"
"5","study1a_FP00","31","Female","when_i_dont_like_the_smell_of_a_shampoo_i_dont_buy_it","matrix","I totally agree"
"6","study1a_FP00","31","Female","when_i_smell_delicious_food_im_getting_hungry","matrix","I totally agree"
"7","study1a_FP00","31","Female","without_my_sense_of_smell_life_would_be_worthless","matrix","I mostly disagree"
"8","study1a_FP00","31","Female","i_try_to_locate_the_odour_when_i_smell_something","matrix","I mostly agree"
"9","study1a_FP00","31","Female","i_feel_rather_quickly_disturbed_by_odours_in_my_environment","matrix","I mostly disagree"
"10","study1a_FP00","31","Female","certain_smells_immediately_activate_numerous_memories","matrix","I totally agree"
"11","study1a_FP00","31","Female","before_drinking_coffeetea_i_intentionally_smell_it","matrix","I mostly agree"
"12","study1a_FP00","31","Female","when_i_buy_tomatoes_i_pay_attention_to_their_odour","matrix","I totally agree"
"13","study1a_FP00","31","Female","if_my_partner_has_a_nasty_smell_i_avoid_kissing_himher","matrix","I mostly agree"
"14","study1a_FP00","31","Female","certain_smells_immediately_activate_strong_feelings","matrix","I totally agree"
"15","study1a_FP00","31","Female","i_smell_my_clothes_to_judge_whether_i_have_to_wash_them_or_not","matrix","I totally agree"
"16","study1a_FP00","31","Female","when_there_is_a_nasty_smell_in_the_officeapartment_of_a_colleague_i_leave_the_room_as_soon_as_possible","matrix","I mostly agree"
"17","study1a_FP00","31","Female","certain_odours_can_stimulate_my_fantasy","matrix","I mostly agree"
"18","study1a_FP00","31","Female","to_me_it_is_more_important_to_be_able_to_smell_than_to_be_able_to_see_or_hear","matrix","I totally disagree"
"19","study1a_FP00","31","Female","sometimes_i_smell_a_person_eg_my_partner_or_my_child_to_judge_if_heshe_has_drunken_alcohol_or_smoked","matrix","I mostly disagree"
"20","study1a_FP00","31","Female","i_cannot_pass_good_smelling_candles_in_a_store_without_buying_one","matrix","I mostly disagree"
